Type,Title,Link,Category
Book,R for the Rest of Us: A Statistics-Free Introduction,https://book.rfortherestofus.com/,R
Book,R Graphics Cookbook,https://r-graphics.org/,R;Data Visualisation
Book,R in Production,https://r-in-production.org/,R
Book,R Packages,https://r-pkgs.org/,R
Book,R Markdown: The Definitive Guide,https://bookdown.org/yihui/rmarkdown/,R;Quarto
Book,The Rust Programming Language,https://doc.rust-lang.org/book/,Rust
Book,Scaling Up With R and Arrow,https://arrowrbook.com/,R
Book,Supervised Machine Learning for Text Analysis in R,https://smltar.com/,Machine Learning;R
Book,Spatial Statistics for Data Science: Theory and Practice with R,https://www.paulamoraga.com/book-spatial/index.html,Statistics;R
Book,Telling Stories with Data,https://tellingstorieswithdata.com/,Data Visualisation
Book,Text Mining with R,https://www.tidytextmining.com/,Machine Learning;R
Book,Think Bayes,https://allendowney.github.io/ThinkBayes2/index.html,Statistics
Book,Tidy Modelling with R,https://www.tmwr.org/,Machine Learning;R
Book,What They Forgot to Teach You About R,https://rstats.wtf/,R
Website,Best Practices for Data Visualisation,https://rss.org.uk/datavisguide/,Data Visualisation
Website,Diffify,https://diffify.com/,R;Python
Website,HDR Global,https://globalhealthdatascience.tghn.org/hub-resources/spotlight-r/,R
Website,List of R events,https://jumpingrivers.github.io/meetingsR/events.html,R;Community
Website,NHS RAP Community of Practice,https://nhsdigital.github.io/rap-community-of-practice/,R
Website,ONS Data Visualisation Manual,https://service-manual.ons.gov.uk/data-visualisation,Data Visualisation
Website,PsyTeachR,https://psyteachr.github.io/,R
Website,R for the Rest of Us,https://rfortherestofus.com/,R
Website,Significance Magazine,https://significancemagazine.com/,Statistics
Website,Tidymodels website,https://www.tidymodels.org/,Machine Learning;R
Website,The Turing Way,https://www.turing.ac.uk/research/research-projects/turing-way,Data Science
Website,Awesome Quarto,https://github.com/mcanouil/awesome-quarto,Quarto
Website,Quarto,https://quarto.org/,Quarto
Website,Using D3 with Svelte,https://datavisualizationwithsvelte.com/,Data Visualisation;JavaScript;Svelte
Website,Welcome to Svelte,https://svelte.dev/tutorial/svelte/welcome-to-svelte,Svelte
Website,A ggplot2 Grammar Guide,https://evamaerey.github.io/ggplot2_grammar_guide/about,R
Community,Data Science Learning Community,https://dslc.io/,Community;R;Python;Data Science
Community,Data Visualization Society,https://www.datavisualizationsociety.org/,Community;Data Visualisation
Community,NHS-R Community,https://nhsrcommunity.com/,Community;R
Community,rainbowR,https://rainbowr.org/,Community;R
Community,R-Ladies,https://rladies.org/,Community;R
Community,R/Pharma,https://rinpharma.com/,Community;R
Community,RoSE (Researchers of Statistics Education) Network,https://www.rose-network.org/,Community;Statistics
Community,Rust Discord,https://discord.com/invite/rust,Community;Rust
Community,Tableau Community,https://community.tableau.com/s/,Community;Data Visualisation
Community,PyLadies,https://pyladies.com/,Community;Python
Community,Women in Dataviz,https://womenindataviz.substack.com/about,Community;Data Visualisation
Data,Awesome Public Datasets,https://github.com/awesomedata/awesome-public-datasets,Data
Data,Data.gov (The Home of the U.S. Government's Open Data),https://data.gov/,Data
Data,European Data,https://data.europa.eu/en,Data
Data,Data Is Plural,https://www.data-is-plural.com/,Data
Data,Google Dataset Search,https://datasetsearch.research.google.com/,Data
Data,Information is Beautiful,https://informationisbeautiful.net/data/,Data
Data,NHS Digital,https://digital.nhs.uk/data-and-information/statistical-publications-open-data-and-data-products,Data
Data,NHSRdatasets,https://github.com/nhs-r-community/NHSRdatasets,Data;R
Data,Office for National Statistics,https://www.ons.gov.uk/,Data
Data,Open Geography Portal,https://geoportal.statistics.gov.uk/,Data
Data,Rdatasets,https://vincentarelbundock.github.io/Rdatasets/articles/data.html,Data;R
Data,Teaching of Statistics in the Health Sciences,https://causeweb.org/tshs/,Data
Data,tidyRainbow,https://github.com/r-lgbtq/tidyrainbow,Data
Data,TidyTuesday,https://github.com/rfordatascience/tidytuesday,Data
Data,UK Data Service,https://ukdataservice.ac.uk/,Data
Data,Dryad,https://datadryad.org/stash,Data
Challenge,30 Day Chart Challenge,https://github.com/30DayChartChallenge,Data Visualisation
Challenge,30 Day Map Challenge,https://30daymapchallenge.com/,Data Visualisation
Challenge,Makeover Monday,https://makeovermonday.co.uk/,Data Visualisation
Challenge,Sports Viz Sunday,https://www.sportsvizsunday.com/,Data Visualisation
Challenge,Storytelling with Data,https://community.storytellingwithdata.com/challenges,Data Visualisation
Challenge,Viz for Social Good,https://www.vizforsocialgood.com/,Data Visualisation
Challenge,Wonderful Wednesdays,https://www.psiweb.org/sigs-special-interest-groups/visualisation/welcome-to-wonderful-wednesdays,Data Visualisation
Video,Statistics Globe,https://www.youtube.com/@StatisticsGlobe,R;Statistics
Video,Albert Rapp,https://www.youtube.com/@rappa753,R
Video,Julia Silge,https://www.youtube.com/c/JuliaSilge,R;Machine Learning
Podcast,R for the Rest of Us Podcast,https://rfortherestofus.com/podcast,R
Podcast,RWeekly Podcast,https://serve.podhome.fm/r-weekly-highlights,R
